blind_id,experiment,case,arm,replicate,run,answer_sha256,core_correct,core_errors,overclaim,unnecessary_abstention,defect_detected,defect_downgraded,next_action,inapplicable_adoption,subquestion_coverage,units,rationale,cost_usd,input_tokens,output_tokens,wall_seconds,accepted,status
V061,E2,Q-A1,D,4,Q-A1_D_7bf40d1f,d6ba6ed7cf1ebbea676f1ab6059eea8aeba4da6990d2235d5d96141601ade8f0,4,0,0,1,0,0,1,0,0,CCCMC,四增量及含义正确。把来源已明确无ATP/AMP的状态称未提供，且没有温度比较，条件证据不足记缺失；没有正面宣称有配体或直接否定实验。,0.011904679999999999,69861,4706,55.30282166699908,True,SUBMITTED_NO_EXPLICIT_REVISION
V062,E4,Q-A1,SPLIT,1,Q-A1_SPLIT_795f7644,ac668487421ba7dbee9cbd909481328ea11904a936d064bda88b985a27f38488,5,0,0,0,0,0,1,0,3,CCCCC,全分布中心与重叠、首末正向变化、无配体和温度时间差以及先后顺序边界正确。closed LID+1.177由已舍入均值相减产生，差<0.001Å，不作核心错误。,0.012341719999999999,73669,4862,52.1977310000002,True,SUBMITTED_NO_EXPLICIT_REVISION
V063,E3,Q-H2,R_old,2,Q-H2_R_old_2a6a8f9b,8f832c08057901ac320d9067ab756771240edb8bcb5521407a96f1dabe155f8f,2,2,0,1,0,0,1,0,0,ECMEC,闭合主分类写8相对2其余而非9/1，核心错1。敏感性0.5开放相对15/20错误，τ2报告22/20后主动撤回，保留失败不算造假；敏感性单元整体错误且未完成。p95正确但两entry缺失。,0.02099213,140233,10288,101.06735354199918,True,COMPLETE
V064,E2,Q-A1,D,2,Q-A1_D_5fdbf027,0df63ffa519ddbcb516e4af8d4bef1567d8058eff282e48797d7c1348dac67ec,3,1,0,1,0,0,1,0,0,CCEMC,四个增量表正确，解释却称closed LID比NMP小0.0855，实际大0.0855，核心幅度方向错误；条件单元漏303.15/294K。错误独立帧Welch区间明确作为不适用示例，未当显著性证据。,0.014796839999999999,55571,7257,81.85706924999977,True,COMPLETE
V065,E2,Q-A1,FEEDBACK,1,Q-A1_FEEDBACK_6d4828a8,d6dbb84f6c184eec1066aac616742a28d6f5cdf0ec564d24ccd3ec6a112d8cd8,4,0,0,1,0,0,1,0,0,CCCMC,四差值、方向与幅度、apo及实验瞬态区分正确；漏温度比较，条件单元缺失。,0.011866330000000001,72822,4382,49.50908020800125,True,SUBMITTED_NO_EXPLICIT_REVISION
V066,E2,Q-D-fixed,D,3,Q-D-fixed_D_60950bfc,4add1d72b1d86be4b4df09ede35f1add4088a2f938ddd046b37dd20addeb2cc0,4,0,0,1,0,0,1,0,0,CCMCC,N18/W22/M20 O3P下降（N18用方向而非数值，仍是正确回答）、M20数值、Ki/Fig3及边界正确；R28只详细交NE/NH2、NH1称比例较低，没有明确六对均值下降，核心单元3缺失。磷酸氧是次要化学错误。,0.01667809,97474,7906,85.76243004199932,True,SUBMITTED_NO_EXPLICIT_REVISION
V067,E2,Q-D-fixed,FEEDBACK,1,Q-D-fixed_FEEDBACK_5a26da52,b995448ceca57d7654d20852b52356abf23457c36cc2063b6d3bc8dbf8d943bd,2,1,0,2,0,0,1,0,0,MECMC,M20 WT-TMP<6Å误报11.8%，实际约7.0%，虽均值正确仍为核心支持数字错误。未交N18 O3P结果，unit1缺失。六R28选择性方向已有总括与代表数据，unit3正确。图3只说过程不同，未明确WT两药均抑制、L28R4DTMP更强，unit4缺失；没有反向声称4DTMP更弱。,0.01569336,64860,7901,82.26375408400054,True,COMPLETE
V068,E3,Q-H2,R_scoped,4,Q-H2_R_scoped_71657c46,4215e2305741b013be8e09884b46c07c5aa8c5bdcb453886eeacbca9ecfd9ba7,5,0,0,0,0,0,1,0,0,CCCCC,主分类、各容差、p95和两entry全部正确；原生列/方向与完整状态边界充分。BME未核准及建议联合拟合为额外方法负担，探索性记录，不扩冻结不适用术语指标。,0.01992375,109381,9680,81.26951904200541,True,COMPLETE
V069,E4,Q-A1,SPLIT,2,Q-A1_SPLIT_7155aa84,d2ab4219bb46cb19f5f5bd7bdafe600801cd9f6196231b6ecf1d47fcba9c79fd,5,0,0,0,0,0,1,0,3,CCCCC,分布中心和重叠、四个首末变化、apo/温度/实验时间差及先后顺序边界均正确。名义KS p值明示不能作为独立重复证据。,0.01186577,60903,4690,55.35920858300233,True,SUBMITTED_NO_EXPLICIT_REVISION
V070,E3,Q-H2,R_old,4,Q-H2_R_old_fd6dd552,caad865be387bdd4ba2cef3384d220f8dbf806a8260fc6c270d0171f55f648ec,2,2,0,1,0,0,1,0,0,EEMCC,开组将跨两组OPEN_NOE总数19369当本组计数并给96.75%，主文与表格90.74%矛盾；闭组把轨迹平均12.77%称池化帧比例，实际17.77%。两种分母/汇总错误各计1。主轨迹类别与敏感性类别正确；p95与21总entry有而两closed定位缺失。,0.02071939,137040,8481,95.58149979199516,True,COMPLETE
V071,E4,HSP90_Q01,SPLIT,2,HSP90_Q01_SPLIT_2b5619af,bdd6e7b88e0a2ce93c6b86a93e064cb918e0ac32060b1a40582ecc771b68f255,4,0,0,1,0,0,1,0,3,CMCCC,5/4/1、10everO、开放0正确。分列5初始开放和5后开放，但未完整交10从未开放分解，unit2缺失。原生9相对与10ever、开放18一致足以保留正确有限答案，11不适用/其他是明确合并标签而非错误分类。,0.018355589999999998,136977,7241,71.25198799999635,True,TOKEN_LIMIT
V072,E3,Q-H2,R_scoped,2,Q-H2_R_scoped_f1a03c8e,6fa9924194ee7ff805b36e4b22f80aba408999d040e5486575b84624ddbadbd8,3,1,0,1,0,0,1,0,0,CCMEC,主分类正确；p95及188/690有但未把两entry定位到ES04/ES15。敏感性轨迹类别正确，帧池化比例却在0.5/2Å采用轨迹平均0.80%/46.52%，实际1.12%/58.44%，一类统计汇总错误。,0.02213399,128445,11270,118.81026029200439,True,COMPLETE
V073,E1b,Q-D-defect,CARD,4,Q-D-defect_CARD_10e796d4,2c173079886f5b5331714e2d6eedeae12f40586a987bd547836091fff67afaab,3,2,2,0,0,0,1,0,0,ECCCE,把缺陷表距离/近接比例当真实局部支持，未检测降级；合并结论称通过这些接触产生动力学耦合从而解释优势，超出关联，末尾因果限制未使该主张成立。Ki和Fig3正确；无明确长尾物理切换主张，unit2正确。,0.015079179999999998,90215,5628,54.885997666999174,True,SUBMITTED_NO_EXPLICIT_REVISION
V074,E2,Q-D-fixed,FEEDBACK,3,Q-D-fixed_FEEDBACK_1223b39e,409395f76cf5d2e0af4893ecdb75e25bd3d6963318a65c0e98e2306995c2bc3b,3,1,1,1,0,0,1,0,0,MCCCE,M20数值、R28六对/O3P混合、Ki/Fig3正确；N18 O3P结果缺失。结论“利用新增的动态局部接触…使…抑制表现改善”把相关性升级成因果，边界只说不能确定哪项速率，仍未支持该因果。,0.021223259999999997,115417,10581,104.77715054199507,True,COMPLETE
